iter	Passed	Remaining
781	1911	532
782	1913	530
783	1914	527
784	1916	525
785	1918	522
786	1920	519
787	1922	517
788	1924	514
789	1926	512
790	1928	509
791	1930	506
792	1932	504
793	1934	501
794	1936	499
795	1938	496
796	1940	494
797	1942	491
798	1944	489
799	1946	486
800	1948	484
801	1950	481
802	1951	478
803	1954	476
804	1956	473
805	1958	471
806	1959	468
807	1964	466
808	1966	464
809	1968	461
810	1970	459
811	1973	456
812	1975	454
813	1977	451
814	1979	449
815	1980	446
816	1982	444
817	1984	441
818	1986	439
819	1988	436
820	1991	434
821	1993	431
822	1995	429
823	1997	426
824	2000	424
825	2002	421
826	2003	419
827	2006	416
828	2009	414
829	2010	411
830	2013	409
831	2015	406
832	2017	404
833	2019	401
834	2021	399
835	2023	396
836	2025	394
837	2028	392
838	2029	389
839	2031	387
840	2033	384
841	2037	382
842	2038	379
843	2040	377
844	2043	374
845	2045	372
846	2047	369
847	2051	367
848	2053	365
849	2055	362
850	2058	360
851	2060	357
852	2062	355
853	2064	353
854	2067	350
855	2070	348
856	2075	346
857	2077	343
858	2079	341
859	2081	338
860	2083	336
861	2085	333
862	2087	331
863	2089	328
864	2091	326
865	2093	323
866	2095	321
867	2097	319
868	2099	316
869	2102	314
870	2105	311
871	2107	309
872	2111	307
873	2113	304
874	2114	302
875	2118	299
876	2121	297
877	2123	295
878	2126	292
879	2128	290
880	2130	287
881	2132	285
882	2134	282
883	2136	280
884	2138	277
885	2140	275
886	2142	272
887	2144	270
888	2145	267
889	2147	265
890	2150	263
891	2151	260
892	2153	258
893	2155	255
894	2158	253
895	2160	250
896	2163	248
897	2165	245
898	2167	243
899	2169	241
900	2171	238
901	2173	236
902	2175	233
903	2177	231
904	2179	228
905	2181	226
906	2183	223
907	2185	221
908	2187	218
909	2189	216
910	2191	214
911	2193	211
912	2195	209
913	2197	206
914	2199	204
915	2201	201
916	2203	199
917	2205	196
918	2207	194
919	2209	192
920	2211	189
921	2213	187
922	2215	184
923	2217	182
924	2219	179
925	2221	177
926	2223	175
927	2225	172
928	2226	170
929	2228	167
930	2231	165
931	2233	162
932	2234	160
933	2237	158
934	2238	155
935	2240	153
936	2242	150
937	2245	148
938	2247	146
939	2249	143
940	2251	141
941	2253	138
942	2255	136
943	2257	133
944	2259	131
945	2261	129
946	2264	126
947	2266	124
948	2268	121
949	2270	119
950	2272	117
951	2275	114
952	2277	112
953	2279	109
954	2281	107
955	2283	105
956	2284	102
957	2286	100
958	2289	97
959	2290	95
960	2293	93
961	2295	90
962	2297	88
963	2299	85
964	2301	83
965	2303	81
966	2305	78
967	2306	76
968	2309	73
969	2311	71
970	2312	69
971	2315	66
972	2317	64
973	2319	61
974	2321	59
975	2323	57
976	2325	54
977	2327	52
978	2329	49
979	2331	47
980	2333	45
981	2334	42
982	2336	40
983	2338	38
984	2340	35
985	2342	33
986	2344	30
987	2348	28
988	2350	26
989	2352	23
990	2354	21
991	2356	19
992	2358	16
993	2360	14
994	2363	11
995	2364	9
996	2367	7
997	2369	4
998	2371	2
999	2374	0
